FECHA	HORA	PM2.5	SO2	NO	NO2	PM10	NOx	O3
29/01/2023	16	8	3	1	1	12	3	66
29/01/2023	17	8	3	1	1	14	3	65
29/01/2023	18	8	3	1	4	13	5	58
29/01/2023	19	9	3	1	9	13	11	45
29/01/2023	20	14	3	1	18	18	20	36
29/01/2023	21	12	3	1	23	13	24	37
29/01/2023	22	12	3	2	21	15	23	37
29/01/2023	23	12	3	1	21	14	22	37
30/01/2023	00	11	3	1	14	12	16	45
30/01/2023	01	14	3	1	13	16	15	41
30/01/2023	02	17	3	3	13	20	18	38
30/01/2023	03	13	3	1	8	15	10	41
30/01/2023	04	10	3	1	5	11	6	46
30/01/2023	05	8	3	1	4	9	6	48
30/01/2023	06	8	3	1	7	9	8	39
30/01/2023	07	9	3	1	19	11	20	26
30/01/2023	08	11	3	6	34	17	43	11
30/01/2023	09	13	3	17	35	24	61	16
30/01/2023	10	13	3	9	21	20	35	34
30/01/2023	11	13	3	4	14	18	21	44
30/01/2023	12	22	3	18	30	31	57	33
30/01/2023	13	20	3	8	20	26	32	39
30/01/2023	14	14	4	3	14	19	19	51
30/01/2023	15	9	3	1	10	11	12	66
30/01/2023	16	7	3	1	15	10	17	60
30/01/2023	17	9	3	1	25	12	27	51
30/01/2023	18	10	3	1	36	14	38	34
30/01/2023	19	12	3	1	45	18	47	25
30/01/2023	20	17	3	3	37	24	41	27
30/01/2023	21	17	3	1	32	20	34	29
30/01/2023	22	15	3	2	26	18	29	34
30/01/2023	23	20	3	1	32	23	33	27
31/01/2023	00	23	3	1	24	26	26	26
31/01/2023	01	19	3	1	20	22	22	33
31/01/2023	02	19	3	4	17	23	22	32
31/01/2023	03	15	3	1	16	17	17	31
31/01/2023	04	12	3	1	11	18	12	38
31/01/2023	05	14	3	1	14	24	15	29
31/01/2023	06	14	3	6	27	17	36	12
31/01/2023	07	14	3	21	34	17	66	6
31/01/2023	08	14	3	56	51	23	136	6
31/01/2023	09	15	3	52	47	34	127	10
31/01/2023	10	16	3	43	46	33	111	15
31/01/2023	11	16	3	26	40	32	80	26
31/01/2023	12	12	3	7	22	20	34	46
31/01/2023	13	10	3	4	17	16	23	57
