FECHA	HORA	SO2	NO	NO2	NOx	O3
16/01/2023	07	5	3	16	21	
16/01/2023	08	5	5	19	27	
16/01/2023	09	5	3	14	18	
16/01/2023	10	4	3	11	16	
16/01/2023	11	3	3	11	16	
16/01/2023	12	3	3	10	14	
16/01/2023	13	4	3	9	14	
16/01/2023	14	4	2	6	9	
16/01/2023	15	4	2	7	10	
16/01/2023	16	5	2	7	10	
16/01/2023	17	4	2	9	12	
16/01/2023	18	4	2	8	11	
16/01/2023	19	4	2	6	9	
16/01/2023	20	4	2	5	7	
16/01/2023	21	4	1	4	6	
16/01/2023	22	4	2	3	6	
16/01/2023	23	3	1	2	5	
17/01/2023	00	3	2	2	5	
17/01/2023	01	3	2	2	4	
17/01/2023	02	3	2	2	4	
17/01/2023	03	3	1	2	4	
17/01/2023	04	4	1	2	4	
17/01/2023	05	4	1	2	5	
17/01/2023	06	4	2	3	6	
17/01/2023	07	4	2	7	10	
17/01/2023	08	3	3	11	15	
17/01/2023	09	3	2	7	10	
17/01/2023	10	3	2	5	9	
17/01/2023	11	3	2	4	8	
17/01/2023	12	3	2	4	7	
17/01/2023	13	3	2	4	8	
17/01/2023	14	3	2	5	9	
17/01/2023	15	3	3	5	9	
17/01/2023	16	3	2	5	8	
17/01/2023	17	3	2	7	10	
17/01/2023	18	3	2	11	15	
17/01/2023	19	3	2	13	15	
17/01/2023	20	3	2	6	9	77
17/01/2023	21	3	2	6	9	75
17/01/2023	22	3	1	4	6	79
17/01/2023	23	3	2	4	7	73
18/01/2023	00	3	2	3	5	79
18/01/2023	01	3	2	2	5	81
18/01/2023	02	3	2	2	5	78
18/01/2023	03	5	2	2	5	76
18/01/2023	04	6	2	2	5	77
18/01/2023	05	5	2	3	6	75
18/01/2023	06	6	2	5	8	71
18/01/2023	07	6	3	16	20	54
18/01/2023	08	3	3	20	24	47
18/01/2023	09	3	4	18	23	50
18/01/2023	10	3	3	9	14	60
18/01/2023	11	3	3	6	10	69
18/01/2023	12	3	4	8	13	66
18/01/2023	13	3	4	7	13	69
18/01/2023	14	3	2	3	7	75
18/01/2023	15	3	3	4	7	74
18/01/2023	16	3	2	4	7	72
18/01/2023	17	3	2	9	11	66
18/01/2023	18	3	3	32	37	35
18/01/2023	19	3	4	30	35	33
18/01/2023	20	3	2	20	23	46
18/01/2023	21	3	2	17	20	49
18/01/2023	22	3	2	20	23	44
18/01/2023	23	3	1	13	16	50
19/01/2023	00	3	3	14	18	43
19/01/2023	01	3	2	8	11	56
19/01/2023	02	4	2	7	10	57
19/01/2023	03	5	2	4	7	67
19/01/2023	04	5	2	2	5	75
19/01/2023	05	5	2	2	5	73
19/01/2023	06	5	1	6	8	66
19/01/2023	07	5	6	23	32	42
19/01/2023	08	4	7	31	42	19
19/01/2023	09	5	7	22	32	33
19/01/2023	10	3	4	10	16	
19/01/2023	11	3	4	9	15	
19/01/2023	12	3	3	6	10	61
19/01/2023	13	3	3	8	13	58
19/01/2023	14	3	3	7	12	58
19/01/2023	15	3	2	6	9	64
19/01/2023	16	3	2	7	11	64
19/01/2023	17	3	2	11	14	61
19/01/2023	18	3	2	14	17	54
19/01/2023	19	3	2	14	17	50
19/01/2023	20	3	2	8	11	52
19/01/2023	21	3	2	8	10	51
19/01/2023	22	3	2	7	9	54
19/01/2023	23	3	2	5	7	59
20/01/2023	00	3	2	3	5	62
20/01/2023	01	3	1	3	5	62
20/01/2023	02	3	2	2	5	61
20/01/2023	03	3	2	3	5	60
20/01/2023	04	3	2	3	5	61
20/01/2023	05	3	2	4	7	57
20/01/2023	06	3	3	17	22	39
20/01/2023	07	3	15	42	64	5
20/01/2023	08	4	13	36	56	19
20/01/2023	09	5	24	42	79	15
20/01/2023	10	4	2	6	9	66
20/01/2023	11	5	2	4	7	71
20/01/2023	12	5	2	3	6	78
20/01/2023	13	6	2	4	7	80
20/01/2023	14	6	2	4	7	82
20/01/2023	15	6	2	8	11	76
20/01/2023	16	6	2	10	13	72
20/01/2023	17	6	2	18	20	60
20/01/2023	18	6	2	29	32	43
20/01/2023	19	5	2	33	37	36
20/01/2023	20	5	2	30	33	39
20/01/2023	21	4	2	34	38	31
20/01/2023	22	5	17	51	77	4
20/01/2023	23	4	32	53	102	3
21/01/2023	00	4	13	41	61	7
21/01/2023	01	4	2	30	34	11
21/01/2023	02	4	2	14	16	32
21/01/2023	03	5	2	7	9	43
21/01/2023	04	7	2	7	9	46
21/01/2023	05	7	2	6	9	40
21/01/2023	06	8	2	6	9	56
21/01/2023	07	7	6	18	26	42
21/01/2023	08	5	31	36	84	3
21/01/2023	09	5	26	35	74	8
21/01/2023	10	4	8	19	31	42
21/01/2023	11	3	2	5	8	72
21/01/2023	12	3	2	5	9	72
21/01/2023	13	3	3	6	10	73
21/01/2023	14	3	2	4	7	77
21/01/2023	15	3	2	3	6	81
21/01/2023	16	3	2	3	5	81
21/01/2023	17	3	2	14	17	65
21/01/2023	18	3	2	17	20	51
21/01/2023	19	3	2	6	8	66
21/01/2023	20	3	2	4	7	69
21/01/2023	21	3	2	3	6	73
21/01/2023	22	3	2	3	6	71
21/01/2023	23	3	2	2	5	75
22/01/2023	00	3	2	2	5	75
22/01/2023	01	3	2	3	5	74
22/01/2023	02	3	2	2	5	75
22/01/2023	03	3	2	2	5	74
22/01/2023	04	4	2	3	5	71
22/01/2023	05	5	2	2	5	72
22/01/2023	06	4	2	3	6	67
22/01/2023	07	5	2	5	7	65
22/01/2023	08	3	2	7	9	63
22/01/2023	09	3	2	5	8	65
22/01/2023	10	3	2	5	9	67
22/01/2023	11	3	2	4	7	73
22/01/2023	12	3	2	3	6	79
22/01/2023	13	3	2	3	6	79
22/01/2023	14	3	2	3	6	82
22/01/2023	15	3	2	4	7	81
22/01/2023	16	3	2	7	10	77
22/01/2023	17	3	2	14	17	63
22/01/2023	18	3	2	17	19	53
22/01/2023	19	3	2	8	10	64
22/01/2023	20	3	1	5	8	72
22/01/2023	21	3	2	5	8	71
22/01/2023	22	3	2	5	8	68
22/01/2023	23	3	2	4	6	70
23/01/2023	00	3	2	4	6	70
23/01/2023	01	3	2	4	7	67
23/01/2023	02	3	2	4	7	66
23/01/2023	03	3	2	4	6	63
23/01/2023	04	3	2	3	6	64
23/01/2023	05	3	2	4	6	60
23/01/2023	06	4	2	10	13	46
23/01/2023	07	6	38	49	108	3
23/01/2023	08	7	61	54	146	2
