FECHA	HORA	NH3	SO2	NO	NO2	NOx	O3
14/01/2023	11	5	6	4	7	12	27
14/01/2023	12	7	6	3	5	10	34
14/01/2023	13	9	5	3	6	11	
14/01/2023	14	12	5	4	10	16	26
14/01/2023	15	9	5	2	1	4	36
14/01/2023	16	8	4	2	3	6	38
14/01/2023	17	8	4	3	14	18	21
14/01/2023	18	7	4	4	28	35	38
14/01/2023	19	7	4	2	17	21	
14/01/2023	20	7	5	13	29	49	23
14/01/2023	21	6	4	2	31	33	22
14/01/2023	22	6	4	2	8	11	41
14/01/2023	23	6	4	2	4	7	47
15/01/2023	00	5	4	1	3	5	54
15/01/2023	01	5	6	1	1	3	54
15/01/2023	02	5	5	1	4	6	52
15/01/2023	03	4	5	1	1	3	57
15/01/2023	04	5	4	1	1	2	57
15/01/2023	05	4	5	1	1	3	54
15/01/2023	06	4	5	1	1	3	54
15/01/2023	07	4	5	1	4	5	47
15/01/2023	08	4	5	1	5	7	46
15/01/2023	09	4	5	1	3	4	49
15/01/2023	10	4	5	1	2	4	49
15/01/2023	11	5	5	2	2	5	47
15/01/2023	12	5	4	2	3	6	46
15/01/2023	13	6	4	2	2	6	
15/01/2023	14	6	5	2	2	5	
15/01/2023	15	6	4	2	2	4	
15/01/2023	16	6	4	2	1	5	
15/01/2023	17	6	4	2	3	6	
15/01/2023	18	6	3	2	5	8	
15/01/2023	19	5	5	2	10	12	31
15/01/2023	20	6	4	4	11	17	25
15/01/2023	21	5	4	1	18	20	18
15/01/2023	22	5	5	2	14	17	24
15/01/2023	23	4	5	2	8	10	33
16/01/2023	00	4	5	1	4	6	37
16/01/2023	01	4	6	1	4	5	43
16/01/2023	02	3	6	1	2	3	47
16/01/2023	03	3	5	1	1	2	46
16/01/2023	04	3	5	1	1	2	50
16/01/2023	05	3	5	1	1	2	53
16/01/2023	06	3	6	1	2	3	54
16/01/2023	07	3	6	1	7	8	47
16/01/2023	08	3	7	1	9	10	46
16/01/2023	11	3	5	1	5	7	51
16/01/2023	12	4	5	1	3	5	57
16/01/2023	13	5	5	2	3	6	59
16/01/2023	14	5	4	2	4	6	
16/01/2023	15	6	4	2	3	6	
16/01/2023	16	6	4	2	4	7	
16/01/2023	17	5	3	2	6	9	
16/01/2023	18	6	4	2	5	8	
16/01/2023	19	6	4	2	3	6	
16/01/2023	20	5	4	2	4	6	
16/01/2023	21	5	5	2	2	4	
17/01/2023	06	5	5	1	2	4	65
17/01/2023	07	5	4	2	7	9	60
17/01/2023	08	5	4	2	7	10	62
17/01/2023	09	5	5	2	5	8	62
17/01/2023	10	6	4	2	3	7	71
17/01/2023	11	6	4	2	3	6	
17/01/2023	12	6	4	3	3	8	
17/01/2023	13	5	4	2	4	7	71
17/01/2023	14	5	4	2	3	7	74
17/01/2023	15	5	4	2	4	7	75
17/01/2023	16	5	4	2	6	9	
17/01/2023	17	5	4	2	8	11	
17/01/2023	18	4	4	2	11	14	
17/01/2023	19	4	4	3	21	26	
17/01/2023	20	4	4	1	6	8	68
17/01/2023	21	3	6	1	4	5	71
17/01/2023	22	3	6	1	3	4	70
17/01/2023	23	3	6	1	3	4	67
18/01/2023	00	3	6	1	2	3	70
18/01/2023	01	2	5	1	1	2	72
18/01/2023	02	2	5	1	1	2	70
18/01/2023	03	2	5	1	1	2	67
18/01/2023	04	2	5	1	2	3	66
18/01/2023	05	2	6	1	3	3	66
18/01/2023	06	2	6	1	4	5	62
18/01/2023	07	2	6	2	20	22	
18/01/2023	08	2	7	1	24	25	
18/01/2023	09	2	7	1	11	13	
18/01/2023	10	2	7	1	6	7	
18/01/2023	11	2	6	2	6	8	
18/01/2023	12	3	5	2	6	8	73
18/01/2023	13	3	5	2	5	9	64
18/01/2023	14	4	4	3	7	11	62
18/01/2023	15	3	4	3	7	12	62
18/01/2023	16	3	4	3	9	14	
18/01/2023	17	3	4	4	17	23	60
18/01/2023	18	3	5	3	39	44	32
18/01/2023	19	3	5	1	22	24	52
18/01/2023	20	2	5	1	13	14	57
18/01/2023	21	2	5	1	12	12	
18/01/2023	22	2	6	1	16	18	55
18/01/2023	23	2	7	1	11	12	
19/01/2023	00	2	7	1	12	13	
19/01/2023	01	2	6	1	9	10	
19/01/2023	02	2	6	1	10	10	
19/01/2023	03	1	7	1	4	5	
19/01/2023	04	2	6				
19/01/2023	05	2	6	1	2	3	
19/01/2023	06	1	6				
19/01/2023	07	1	6	2	18	20	
19/01/2023	08	1	7	1	19	20	
19/01/2023	09	1	7	1	11	13	
19/01/2023	10	2	7	2	6	8	
19/01/2023	11	2	6	2	7	9	
19/01/2023	12	2	5	1	4	6	56
19/01/2023	13	2	5	2	5	8	51
19/01/2023	14	3	4	1	3	6	51
19/01/2023	15	3	5	2	3	6	51
19/01/2023	16	3	4	2	5	8	48
19/01/2023	17	3	4	2	7	10	44
19/01/2023	18	2	5	1	8	10	43
19/01/2023	19	3	5	1	6	8	46
19/01/2023	20	3	5	2	7	9	38
19/01/2023	21	3	5	1	3	4	42
19/01/2023	22	2	5	1	2	3	44
19/01/2023	23	2	5	1	2	3	50
20/01/2023	00	2	6	1	1	3	56
20/01/2023	01	2	5	1	1	2	55
20/01/2023	02	2	5	1	1	2	55
20/01/2023	03	3	6	1	1	2	56
20/01/2023	04	2	6	1	1	2	50
20/01/2023	05	3	5	1	3	4	47
20/01/2023	06	3	4	3	21	25	
20/01/2023	07	3	4	13	40	60	
20/01/2023	08	6	8	99	54	205	1
20/01/2023	09	3	7	62	49	143	10
20/01/2023	10	3	5	5	12	19	43
20/01/2023	11	3	5	3	10	15	64
20/01/2023	12	3	3	4	7	14	70
20/01/2023	13	3	4	5	8	14	77
20/01/2023	14	3	3	5	10	17	79
20/01/2023	15	5	3	7	17	27	70
20/01/2023	16	4	4	6	21	30	66
20/01/2023	17	4	3	7	33	44	48
20/01/2023	18	3	4	4	32	39	45
20/01/2023	19	3	4	2	36	40	37
20/01/2023	20	4	4	28	58	101	4
20/01/2023	21	3	5	43	62	127	2
20/01/2023	22	3	7	61	60	153	2
20/01/2023	23	3	6	42	55	119	2
21/01/2023	00	3	4	4	34	41	11
21/01/2023	01	3	4	1	23	25	22
21/01/2023	02	3	5	1	25	26	18
21/01/2023	03	2	5	1	16	17	30
21/01/2023	04	2	5	1	17	18	29
21/01/2023	05	2	5	2	20	22	18
21/01/2023	06	2	6	8	27	40	3
21/01/2023	07	2	7	19	32	60	2
21/01/2023	08	2	8	34	30	82	2
21/01/2023	09	2	9	42	36	100	4
21/01/2023	10	2	7	26	33	72	19
21/01/2023	11	4	6	5	12	20	65
21/01/2023	12	4	5	5	9	17	70
21/01/2023	13	4	6	6	10	19	70
21/01/2023	14	4	5	5	9	17	76
21/01/2023	15	4	4	3	7	12	79
21/01/2023	16	4	4	3	7	11	83
21/01/2023	17	3	4	3	15	19	71
21/01/2023	18	3	4	2	16	19	59
21/01/2023	19	3	4	2	9	12	70
21/01/2023	20	2	5	1	7	8	72
21/01/2023	21	2	5	1	3	5	
21/01/2023	22	1	6	1	2	3	
21/01/2023	23	2	7	1	1	2	
22/01/2023	00	1	8	1	1	2	
22/01/2023	01	1	7	1	1	2	
22/01/2023	02	1	7	1	2	2	
22/01/2023	03	1	6	1	1	2	
22/01/2023	04	1	7	1	1	2	
22/01/2023	05	1	6	1	1	2	
22/01/2023	06	1	6				
22/01/2023	07	1	7				
22/01/2023	08	1	6				
22/01/2023	09	1	6	1	4	4	
22/01/2023	10	2	6	1	3	4	
22/01/2023	11	2	6	2	3	5	
22/01/2023	12	2	5	2	2	5	
